timestamp,nSites,nQueries,nResponses,q25RTT,q50RTT,q75RTT,q90RTT
1492603200,45,24076,23198,14.7960,31.0725,54.2630,97.3660
1492603800,45,24030,23105,14.7150,31.0560,54.0710,98.0790
1492604400,45,24060,23159,14.7780,31.0030,54.0100,97.0220
1492605000,45,24007,23073,14.7920,31.1020,54.4820,97.6550
1492605600,45,24037,23121,14.7340,31.0080,54.1060,96.8740
1492606200,45,24021,23116,14.8360,31.1790,54.2500,98.2650
1492606800,45,24045,23136,14.8440,31.1515,54.3790,97.7630
1492607400,45,24011,23114,14.8420,31.2480,54.5550,98.5970
1492608000,44,24059,23194,14.9180,31.2760,54.0110,97.0810
1492608600,44,24024,23119,14.9200,31.2690,54.5540,97.8280
1492609200,44,24049,23148,14.8550,31.1380,53.8580,97.1870
1492609800,44,24035,23112,14.9570,31.2395,54.6080,98.9250
1492610400,44,24046,23144,14.9680,31.2795,54.4070,97.9030
1492611000,44,24028,23100,14.9910,31.2970,54.7470,98.3330
1492611600,44,24064,23177,14.9730,31.2640,54.6330,97.9680
1492612200,44,24040,23119,14.8990,31.3710,54.5520,97.8560
1492612800,44,24053,23167,14.9330,31.1820,54.1320,97.9250
1492613400,44,24055,23138,14.9920,31.3150,54.7170,98.7730
1492614000,44,24076,23171,14.8360,31.1680,54.1460,97.1320
1492614600,44,24066,23151,14.9740,31.3920,54.6260,98.1690
1492615200,44,24054,23149,14.9640,31.1950,53.9970,96.2960
1492615800,44,24023,23104,14.9500,31.3075,54.1810,97.3550
1492616400,44,24053,23175,14.8510,31.0960,53.9310,96.8530
1492617000,44,24018,23117,14.9570,31.2740,54.8210,98.0760
1492617600,44,24056,23099,14.8170,31.0990,53.9190,98.3990
1492618200,44,24037,23146,14.9520,31.3065,54.1650,94.6000
1492618800,44,24082,23220,14.8390,31.1900,53.9630,96.1710
1492619400,44,24009,23113,14.9010,31.3690,54.6680,98.3020
1492620000,44,24095,23239,14.9410,31.3150,54.2030,97.2360
1492620600,44,24043,23151,15.0180,31.4580,54.9180,99.5470
1492621200,44,24081,23207,14.8980,31.2750,54.5400,98.3220
1492621800,44,24053,23143,15.0130,31.4170,54.7150,96.9050
1492622400,44,24075,23194,14.9280,31.2890,54.3060,98.0220
1492623000,44,24053,22949,14.8510,31.2660,56.5460,115.9710
1492623600,44,24088,23107,14.9420,31.4360,57.1610,124.1190
1492624200,44,24058,23156,15.0100,31.5085,55.5730,100.4630
1492624800,44,24076,23220,14.9450,31.4875,54.9240,98.3720
1492625400,44,24063,23163,15.0140,31.6860,56.4210,105.9520
1492626000,44,24107,23243,15.0290,32.0030,57.5030,107.2370
1492626600,44,24031,23138,15.0760,32.3360,58.0500,103.7170
1492627200,44,24083,23215,15.1190,32.1870,57.9450,102.7210
1492627800,44,24072,23150,15.2250,32.3630,58.2080,102.4770
1492628400,44,24087,23236,15.1280,32.3035,57.9530,102.6650
1492629000,44,24060,23146,15.1950,32.6115,59.0170,105.0430
1492629600,44,24082,23206,15.2360,32.6385,59.4040,107.7790
1492630200,44,24047,23125,15.1960,32.5650,60.0770,108.0500
1492630800,44,24075,23198,15.1410,32.2545,58.4290,103.3510
1492631400,44,24052,23094,15.0990,32.3315,58.4530,102.9580
1492632000,44,24083,23092,15.0740,32.1665,57.8830,103.0890
1492632600,44,24060,22958,15.0210,32.1775,57.9910,104.9340
